Column1;Column2;Column3;Column4;Column5
07.516.884/0001-80;AUTO POSTO PIANTINO LTDA.;AVENIDA COMENDADOR FRANCISCO AVELINO MAIA,3682,JD. PROGRESSO,PASSOS,MG,BRAZIL;-20.73371220000001;-46.6060052
07.553.011/0001-48;POSTO DA MODA COMERCIO DE COMBUSTIVEIS LTDA;AVENIDA COMENDADOR FRANCISCO AVELINO MAIA,2342,CENTRO,PASSOS,MG,BRAZIL;-20.719962;-46.613947
23.129.560/0001-46;JAGUARA COMBUSTIVEIS LTDA.;AVENIDA JACINTO BARBOSA,800,SAO FRANCISCO,PATROCINIO,MG,BRAZIL;-18.93743489999999;-47.00039859999998
18.986.315/0001-15;POSTO E RESTAURANTE JAMAICA LTDA;AVENIDA FARIA PEREIRA,1399,VILA CONSTANTINO,PATROCINIO,MG,BRAZIL;-18.93764179999998;-46.98630180000001
05.749.673/0002-43;AUTO POSTO EXCALIBUR LTDA.;AVENIDA FARIA PEREIRA,4460,INDUSTRIAL,PATROCINIO,MG,BRAZIL;-18.94659150000002;-47.01230340000001
04.171.017/0001-62;AUTO POSTO SAO FRANCISCO LTDA;AVENIDA JACINTO BARBOSA,929,SAO FRANCISCO,PATROCINIO,MG,BRAZIL;-18.93523260000001;-46.99311760000001
02.529.153/0001-56;AUTO POSTO FLAMIR LTDA;AVENIDA FARIA PEREIRA,,365,CARAJAS,PATROCINIO,MG,BRAZIL;-18.9344055;-46.9751209
20.768.354/0001-98;POSTO SERRA NEGRA LTDA;AVENIDA FARIA PEREIRA,3919,INDUSTRIAL,PATROCINIO,MG,BRAZIL;-18.94557430000001;-47.006409
01.939.996/0001-68;AUTO POSTO ROTA DO SOL LTDA;AVENIDA RUI BARBOSA,2205,SAO BENEDITO,PATROCINIO,MG,BRAZIL;-18.9252864;-46.99968869999998
07.543.490/0001-11;MANTOVANI & MANTOVANI 1 LTDA;AVENIDA JOAO PINHEIRO,5638,BORTOLAN NORTE I,POCOS DE CALDAS,MG,BRAZIL;-21.77558239999999;-46.62260080000002
23.638.638/0001-58;MAIS REVENDA DE COMBUSTIVEIS LTDA;RUA MARECHAL DEODORO,668,CENTRO,POCOS DE CALDAS,MG,BRAZIL;-21.7867831;-46.56108940000001
09.128.405/0001-84;POSTO ACACIAS LTDA;AVENIDA SANTO ANTONIO,310,JARDIM CASCATINHA,POCOS DE CALDAS,MG,BRAZIL;-21.7926471;-46.5621428
17.212.958/0001-49;AUTO POSTO E CENTRO AUTOMOTIVO WENCESLAU BRAZ LTDA;AVENIDA WENCESLAU BRAZ,2000,ESTANCIA POCOS DE CALDAS,POCOS DE CALDAS,MG,BRAZIL;-21.79786680000001;-46.51814759999999
08.777.883/0001-52;AUTO POSTO DIOGO & SILVA LTDA.;AVENIDA VEREADOR EDMUNDO CARDILLO,56,PARQUE VIVALDI LEITE RIBEIRO,POCOS DE CALDAS,MG,BRAZIL;-21.79815539999998;-46.5619879
13.438.991/0001-30;AUTO POSTO JLP LTDA;AVENIDA JOSE REMIGIO PREZIA,13,JARDIM DOS ESTADOS,POCOS DE CALDAS,MG,BRAZIL;-21.7856911;-46.5572315
64.206.469/0001-64;POSTO ESTADIO LTDA;AVENIDA SILVIO MONTEIRO DOS SANTOS,200,VILA CASCATA DAS ANTAS,POCOS DE CALDAS,MG,BRAZIL;-21.7768249;-46.60271749999998
07.341.138/0001-01;AUTO POSTO REKAR LTDA.;RUA CEL. VIRIGILIO SILVA,1578,VILA NOVA,POCOS DE CALDAS,MG,BRAZIL;-21.78892360000001;-46.54539199999999
